
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-13 14:28:24 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.48ms
  2026-05-13 14:28:24 /themes/default/css/style.css ........................................................ ~ 5.16ms
  2026-05-13 14:28:24 /themes/default/css/custom.css ....................................................... ~ 6.98ms
  2026-05-13 14:28:24 /themes/default/js/customScript.js ................................................... ~ 7.20ms
  2026-05-13 14:28:24 /themes/default/js/installer.js ...................................................... ~ 7.17ms
  2026-05-13 14:28:24 /themes/default/images/bg/installer.jpg .............................................. ~ 0.17ms
  2026-05-13 14:28:24 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.16ms
  2026-05-13 14:28:24 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.08ms
  2026-05-13 14:28:24 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 2.11ms
  2026-05-13 14:28:24 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 3.08ms
  2026-05-13 14:28:24 /favicon.ico ......................................................................... ~ 0.13ms
  2026-05-13 14:28:26 /install/requirement ............................................................... ~ 506.56ms
  2026-05-13 14:28:26 /themes/default/fonts/fontawesome/fontawesome.css .................................. ~ 508.68ms
  2026-05-13 14:28:26 /themes/default/fonts/typography/public/public.css ................................... ~ 1.28ms
  2026-05-13 14:28:26 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 2.68ms
  2026-05-13 14:28:26 /themes/default/css/style.css ........................................................ ~ 3.80ms
  2026-05-13 14:28:26 /themes/default/css/custom.css ....................................................... ~ 4.45ms
  2026-05-13 14:28:26 /themes/default/js/customScript.js ................................................... ~ 6.09ms
  2026-05-13 14:28:26 /themes/default/js/installer.js ...................................................... ~ 6.36ms
  2026-05-13 14:28:26 /themes/default/images/bg/installer.jpg .............................................. ~ 0.16ms
  2026-05-13 14:28:26 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.13ms
  2026-05-13 14:28:26 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 0.14ms
  2026-05-13 14:28:26 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.25ms
  2026-05-13 14:28:26 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 2.32ms
  2026-05-13 14:28:26 /favicon.ico ......................................................................... ~ 0.16ms
  2026-05-13 14:28:27 /install/permission ................................................................ ~ 516.37ms
  2026-05-13 14:28:27 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 4.24ms
  2026-05-13 14:28:27 /themes/default/fonts/typography/public/public.css ................................... ~ 2.34ms
  2026-05-13 14:28:27 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 4.26ms
  2026-05-13 14:28:27 /themes/default/css/custom.css ....................................................... ~ 4.17ms
  2026-05-13 14:28:27 /themes/default/js/customScript.js ................................................... ~ 7.14ms
  2026-05-13 14:28:27 /themes/default/css/style.css ....................................................... ~ 11.91ms
  2026-05-13 14:28:28 /themes/default/js/installer.js ..................................................... ~ 12.67ms
  2026-05-13 14:28:28 /themes/default/images/bg/installer.jpg .............................................. ~ 0.13ms
  2026-05-13 14:28:28 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.12ms
  2026-05-13 14:28:28 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 0.20ms
  2026-05-13 14:28:28 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.19ms
  2026-05-13 14:28:28 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 1.13ms
  2026-05-13 14:28:28 /favicon.ico ......................................................................... ~ 0.15ms
  2026-05-13 14:28:28 /install/license ................................................................... ~ 505.50ms
  2026-05-13 14:28:29 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.16ms
  2026-05-13 14:28:29 /themes/default/fonts/typography/public/public.css ................................... ~ 1.29ms
